22/10/2020 12:01:47
URL,Title,Price,Bids,Time Left
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-36-cards-NEW-AND-SEALED-EN-/154151867847,Pokemon XY Evolutions Booster Box 36 cards NEW AND SEALED (EN),357.42,2,P2DT19H9M56S
https://www.ebay.com/itm/pokemon-tcg-xy-evolutions-sealed-booster-box-36-Packs-English-/353242620713,pokemon tcg: xy evolutions sealed booster box 36 Packs English.,401.0,25,P3DT4H26M55S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267731713,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,400.0,67,P0DT2H28M12S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/274542169898,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,400.0,18,P5DT7H58M53S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267735653,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,395.0,28,P0DT9H58M12S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Booster-Box-Brand-New-Factory-Sealed-36-packs-/124389992391,2016 Pokémon XY Evolutions Booster Box Brand New Factory Sealed | 36 packs,395.0,39,P1DT9H58M28S
https://www.ebay.com/itm/Pokemon-Evolutions-XY-Booster-Box-FACTORY-SEALED-/264907622197,Pokemon Evolutions XY Booster Box - FACTORY SEALED,390.0,35,P3DT21H50M46S
https://www.ebay.com/itm/Pokemon-Evolutions-Booster-Box-Case-Fresh-M-NM-FAST-FREE-SHIPPING-/264905961706,Pokemon Evolutions Booster Box Case Fresh M/NM FAST FREE SHIPPING!,385.0,13,P2DT9H32M38S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-36-Packs-NEW-FACTORY-SEALED-Pokemon-TCG-/402506896344,XY Evolutions Booster Box 36 Packs NEW & FACTORY SEALED! Pokemon TCG,385.0,1,P4DT6H30M33S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Sealed-Booster-Box-Base-Set-Card-FREE-36-Boosters-/203144939075,Pokemon: XY Evolutions - Sealed Booster Box + Base Set Card FREE - 36 Boosters,355.0,11,P6DT4H56M2S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267733867,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,375.0,27,P0DT5H28M12S
https://www.ebay.com/itm/Pokemon-Evolutions-XY-sealed-unopened-booster-box-36-packs-Protector-/224201944058,Pokemon Evolutions XY sealed unopened booster box 36 packs With Protector,375.0,19,P5DT0H27M24S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Factory-Sealed-Hand-36-Packs-English-/313264158248,Pokemon XY Evolutions Booster Box Factory Sealed In Hand! (36 Packs) English,360.0,10,P6DT10H39M59S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Factory-Sealed-/363148235289,Pokemon XY Evolutions Booster Box Factory Sealed,365.0,7,P7DT14H15M42S
https://www.ebay.com/itm/Pokemon-Evolutions-XY-sealed-unopened-booster-box-36-packs-10-cards-/333760863748,Pokemon Evolutions XY sealed unopened booster box 36 packs of 10 cards,352.0,27,P1DT5H28M12S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-36-packs-/373283064168,Pokémon XY Evolutions Factory Sealed Booster Box - 36 packs,350.0,24,P3DT10H49M35S
https://www.ebay.com/itm/BUNDLE-Pokemon-TCG-XY-Evolutions-Booster-Box-ETB-Set-Bonus-Charizard-more-/284050059172,BUNDLE Pokémon TCG XY Evolutions Booster Box & ETB Set (Bonus Charizard + more!),355.0,20,P3DT7H26M35S
https://www.ebay.com/itm/Pokemon-Evolution-XY-Sealed-Unopened-Booster-box-36-pack-box-Evolutions-Mint-/274543011843,Pokémon Evolution XY Sealed Unopened Booster box 36 pack box  Evolutions Mint,330.0,14,P4DT0H18M4S
https://www.ebay.com/itm/Pokemon-Evolutions-XY-unopened-booster-box-36-packs-10-cards-SEALED-/284052166372,Pokemon Evolutions XY unopened booster box 36 packs of 10 cards - SEALED,315.0,34,P3DT7H33M52S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Factory-Sealed-Charizard-HF-Pack-/143799816274,Pokemon XY Evolutions Booster Box - Factory Sealed! With Charizard HF Pack!,305.0,37,P4DT10H29M35S
https://www.ebay.com/itm/Pokemon-xy-evolutions-booster-box-BUNDLE-HOLOS-BREAK-REVERSE-HOLO-Etc-/324339779809,"Pokemon xy evolutions booster box BUNDLE WITH HOLOS, BREAK, REVERSE HOLO Etc",305.0,12,P3DT7H42M43S
https://www.ebay.com/itm/324-Cards-Pokemon-Evolutions-Sealed-Booster-Box-Trading-Card-Game-FACTORY-TAKAR-/353242041083,324 Cards Pokemon Evolutions Sealed Booster Box Trading Card Game FACTORY  TAKAR,300.0,14,P0DT16H6M15S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Sealed-Booster-Box-card-TCG-36-Packs-/264907945025,Pokemon XY Evolutions Sealed Booster Box card TCG 36 Packs,260.87,23,P6DT3H23M55S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-Mega-Charizard-Blastoise-/143798122637,Pokemon XY Evolutions Elite Trainer Box Set Mega Charizard & Blastoise,225.5,31,P3DT12H18M45S
https://www.ebay.com/itm/Pokemon-XY-EVOLUTIONS-Elite-Trainer-Box-SET-Factory-Sealed-CHARIZARD-BLASTOISE-/203143867006,Pokemon XY EVOLUTIONS Elite Trainer Box SET Factory Sealed CHARIZARD & BLASTOISE,215.0,39,P2DT8H0M25S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-Mega-Charizard-Blastoise-/324341837404,Pokemon XY Evolutions Elite Trainer Box Set Mega Charizard & Blastoise,222.5,19,P5DT0H18M44S
https://www.ebay.com/itm/Factory-Sealed-XY-Evolutions-Pokemon-36-Booster-Pack-Box-Case-Ex-Charizard-/313268929251,Factory Sealed XY Evolutions Pokemon 36 Booster Pack Box From Case Ex Charizard,203.5,13,P4DT21H30M32S
https://www.ebay.com/itm/HOT-SEALED-Pokemon-XY-EVOLUTIONS-Elite-Trainer-Box-SET-CHARIZARD-BLASTOISE-/174483039487,HOT!! SEALED Pokemon XY EVOLUTIONS Elite Trainer Box SET CHARIZARD BLASTOISE,205.5,16,P1DT11H23M32S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-Mega-Charizard-Blastoise-/143799569210,Pokemon XY Evolutions Elite Trainer Box Set Mega Charizard & Blastoise,212.5,32,P0DT6H48M31S
https://www.ebay.com/itm/Sealed-Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-Lot-Mega-Charizard-Blastoise-/363146826328,Sealed Pokemon XY Evolutions Elite Trainer Box Set Lot Mega Charizard &Blastoise,186.0,24,P1DT8H44M25S
https://www.ebay.com/itm/Pokemon-XY-EVOLUTIONS-Elite-Trainer-Box-SET-Factory-Sealed-CHARIZARD-BLASTOISE-/363147510313,Pokemon XY EVOLUTIONS Elite Trainer Box SET Factory Sealed CHARIZARD BLASTOISE,192.52,15,P3DT7H58M46S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-1-Mega-Charizard-1-Mega-Blastoise-/284053103172,Pokemon XY Evolutions Elite Trainer Box Set 1 Mega Charizard & 1 Mega Blastoise,153.5,16,P6DT6H2M24S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Elite-Trainer-Box-Set-Mega-Charizard-Blastoise-/313268376171,Pokemon XY Evolutions Elite Trainer Box Set Mega Charizard & Blastoise,101.0,10,P6DT11H52M41S
https://www.ebay.com/itm/FREE-FOILS-Pokemon-XY-Evolutions-6x-Booster-Bundle-Lot-1-6-Box-OUT-PRINT-/203146941602,FREE FOILS: Pokemon - XY Evolutions 6x Booster Bundle Lot 1/6 Box - OUT OF PRINT,30.0,12,P4DT23H1M55S
https://www.ebay.com/itm/5x-Pokemon-TCG-XY-EVOLUTIONS-Booster-Packs-Box-FACTORY-SEALED-/174488995803,5x Pokémon TCG XY EVOLUTIONS Booster Packs From Box - FACTORY SEALED,26.0,17,P0DT8H58M12S
https://www.ebay.com/itm/Pokemon-Xy-Evolutions-Booster-Packs-Three-Packs-Comes-Empty-Box-/353242607577,Pokemon Xy Evolutions Booster Packs -Three Packs. Comes With Empty Box,28.0,7,P3DT4H19M17S
https://www.ebay.com/itm/GENGAR-EX-COLLECTION-BOX-SEALED-TCG-CARDS-4-BOOSTER-PACKS-EVOLUTIONS-/164459841607,GENGAR EX COLLECTION BOX SEALED TCG CARDS 4 BOOSTER PACKS EVOLUTIONS,8.0,1,P5DT0H18M32S
https://www.ebay.com/itm/POKEMON-XY-EVOLUTIONS-BOOSTER-BOX-SEALED-36-PACKS-/174485790275,POKEMON XY EVOLUTIONS BOOSTER BOX SEALED 36 PACKS,631.8,8,P1DT19H14M4S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-box-worth-36x-New-Sealed-Packs-charizard-tcg-/264901988484,Pokemon XY Evolutions Booster box worth 36x New & Sealed Packs  *charizard* tcg,605.48,40,P1DT2H10M26S
https://www.ebay.com/itm/POKEMON-XY-EVOLUTIONS-FACTORY-SEALED-BOOSTER-BOX-36-PACKS-OUT-PRINT-/402501921472,POKEMON XY EVOLUTIONS-FACTORY SEALED BOOSTER BOX 36 PACKS - OUT OF PRINT-,565.99,43,P3DT19H32M19S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-36-Packs-10-Cards-Factory-Sealed-Unopened-/224199884539,Pokemon XY Evolutions Booster Box 36 Packs of 10 Cards Factory Sealed Unopened,475.0,73,P3DT6H48M18S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Factory-Sealed-TCG-36-Packs-BONUS-Charizard-/174484957460,"Pokemon XY Evolutions Booster Box Factory Sealed - TCG 36 Packs, BONUS Charizard",460.0,36,P3DT1H34M19S
https://www.ebay.com/itm/Pokemon-TCG-XY-Evolutions-Sealed-Booster-Box-36-packs-/114470280926,Pokemon TCG XY Evolutions Sealed Booster Box (36 packs),457.67,8,P1DT1H53M17S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/333759467757,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,435.0,9,P2DT7H58M12S
https://www.ebay.com/itm/Pokemon-Evolutions-XY-Booster-Box-Cards-SEALED-NEW-36-Sealed-Packs-/392982958424,Pokemon Evolutions XY Booster Box Cards SEALED NEW! 36 Sealed Packs!,425.0,21,P2DT9H35M46S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-Pokemon-TCG-36-Packs-/233747858989,XY Evolutions Booster Box Factory Sealed - Pokemon TCG 36 Packs,420.0,22,P0DT19H52M5S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Sealed-Brand-New-Fresh-/124389399114,Pokemon XY Evolutions Booster Box Sealed ! Brand New ! Fresh,420.0,23,P0DT23H37M16S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-Pokemon-TCG-36-Packs-/402497859355,XY Evolutions Booster Box Factory Sealed - Pokemon TCG 36 Packs,415.0,53,P1DT9H38M5S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-36-Packs-10-Cards-Factory-Sealed-Unopened-/224202420145,Pokemon XY Evolutions Booster Box 36 Packs of 10 Cards Factory Sealed Unopened,415.0,23,P5DT9H49M14S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/264903320552,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,410.0,17,P2DT5H53M13S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-36-Packs-10-Cards-Factory-Sealed-Unopened-/373281362734,Pokemon XY Evolutions Booster Box 36 Packs of 10 Cards Factory Sealed Unopened,410.0,35,P3DT6H58M41S
